	Seg5	Seg3	Feature5	Feature3	Origami	Length	DMS5M	DMS3M	DMS5aM	DMS3aM	DMSallM	DMSintM	DMS5A	DMS3A	DMS5aA	DMS3aA	DMSallA	DMSintA	DMS5C	DMS3C	DMS5aC	DMS3aC	DMSallC	DMSintC	GC	Tm
15	202	207	scaf_stapEND3_0	scaf_scafDX_5	rPB66v2	6	0.13717961719283642	0.03284662181416496			0.0584696737516366	0.04436206102715163	0.13717961719283642				0.07801006697593527	0.04436206102715163		0.03284662181416496			0.032846621814164964		0.3333333333333333	-27.174970758151346
16	208	225	scaf_scafDX_3	scaf_stapSX_5	rPB66v2	18	0.0058781147274163245		0.0032719144627305326	0.0032577503308572403	0.00497249025725331	0.004880902698847084					0.010445357047314046	0.010445357047314046	0.0058781147274163245		0.0032719144627305326	0.0032577503308572403	0.003617630611450376	0.003336480417106557	0.7777777777777778	70.90638764547055
17	226	236	scaf_stapSXEND3_0	scaf_stapDX_5	rPB66v2	11	0.029801333461407103	0.016869481061091186	0.012591913235356899	0.009036716135160518	0.012327936773846804	0.009141158567543965	0.029801333461407103	0.016869481061091186	0.012591913235356899		0.016466763159973218	0.01209338191219369				0.009036716135160518	0.006909628800586258	0.006909628800586258	0.6363636363636364	39.712700611611524
18	237	245	scaf_stapDX_3	scaf_vertex_5	rPB66v2	9		0.00723787138725239	0.0029461394296448084		0.006201861849279743	0.0060131817820853264					0.013305074089811523	0.013305074089811523		0.00723787138725239	0.0029461394296448084		0.004234230372524716	0.003541297043589134	0.7777777777777778	42.54447461125062
19	246	258	scaf_vertex_3	scaf_stapSXEND5_0	rPB66v2	13	0.009631609673838797				0.008017412506337154	0.007658047714040784					0.0125108516675757	0.01251085166757571	0.009631609673838797				0.004112967335995882	0.0017563523522882507	0.46153846153846156	35.84475009442349
20	259	266	scaf_stapSX_3	scaf_stapEND5_0	rPB66v2	8				0.02965969214267418	0.029659692142674183	0.029659692142674183				0.02965969214267418	0.029659692142674183	0.029659692142674183							0.375	1.6498681923423533
21	267	273	scaf_stapEND3_0	scaf_scafDX_5	rPB66v2	7		0.040254462783896855			0.034144244214499374	0.031446277202552615					0.031446277202552615	0.031446277202552615		0.040254462783896855			0.040254462783896855		0.5714285714285714	2.1194450664381748
22	274	292	scaf_scafDX_3	scaf_stapSX_5	rPB66v2	19				0.018484192094646516	0.006442259914015433	0.006442259914015433				0.018484192094646516	0.010408973579242139	0.010408973579242139					0.003987205124864184	0.003987205124864184	0.631578947368421	61.56018049563829
23	293	301	scaf_stapSXEND3_0	scaf_vertex_5	rPB66v2	9	0.03124607491248292	0.046330875357539276	0.003866808001408811		0.016192239196532343	0.0068909775304661315	0.03124607491248292	0.046330875357539276			0.026099068752828566	0.012280302334144465			0.003866808001408811		0.0038668080014088095	0.0038668080014088095	0.5555555555555556	24.686962325298623
24	302	314	scaf_vertex_3	scaf_stapDX_5	rPB66v2	13	0.006557993057334357	0.0032010938033640705	0.016019633148693646	0.01127464897114071	0.0034365173982006726	0.0031980814074574785			0.016019633148693646	0.01127464897114071	0.011346464408630963	0.011346464408630963	0.006557993057334357	0.0032010938033640705			0.002059683753971052	0.001495914907608588	0.6923076923076923	56.03609160790256
25	315	325	scaf_stapDX_3	scaf_stapSXEND5_0	rPB66v2	11	0.001175622945483265	0.034163886078381146	0.005863950595543032	0.002365410022839822	0.005742358100618994	0.005582823215288881	0.001175622945483265	0.034163886078381146	0.005863950595543032		0.007392177664071068	0.007861660602968227				0.002365410022839822	0.002372481518505255	0.002372481518505255	0.2727272727272727	18.71303503269087
26	326	333	scaf_stapSX_3	scaf_stapEND5_0	rPB66v2	8		0.055820843712645146			0.01339695527717872	0.0032152579352373624		0.055820843712645146			0.05582084371264514						0.0032152579352373624	0.0032152579352373624	0.5	15.894928443808908
27	334	339	scaf_stapEND3_0	scaf_scafDX_5	rPB66v2	6		0.02028303684255464	0.10192509296021174		0.057211262997191724	0.09608504841119196		0.02028303684255464			0.020283036842554638				0.10192509296021174		0.09608504841119196	0.09608504841119196	0.6666666666666666	2.5815187210404815
28	340	357	scaf_scafDX_3	scaf_stapSX_5	rPB66v2	18				0.0034843764408299177	0.006805467174218606	0.006805467174218606					0.01113946921821171	0.01113946921821171				0.0034843764408299177	0.003527896790507964	0.003527896790507961	0.6666666666666666	60.66469153625121
29	358	368	scaf_stapSXEND3_0	scaf_stapDX_5	rPB66v2	11					0.005526357154425292	0.005526357154425292					0.0183283866440403	0.0183283866440403					0.003034564020766794	0.003034564020766794	0.45454545454545453	38.3111706949806
30	369	377	scaf_stapDX_3	scaf_vertex_5	rPB66v2	9	0.003456048177083333				0.008223680282195237	0.010978972421990219					0.010978972421990219	0.010978972421990219	0.003456048177083333				0.003456048177083332		0.3333333333333333	6.631553259071154
31	378	390	scaf_vertex_3	scaf_stapSXEND5_0	rPB66v2	13				0.0011614588136099726	0.0033077347583869024	0.0033077347583869115					0.020348736282485673	0.020348736282485673				0.0011614588136099726	0.001333605241400554	0.001333605241400554	0.6923076923076923	58.712576862863784
32	391	401	scaf_stapSX_3	scaf_stapEND5_0	rPB66v2	11	0.010453129322489754	0.024376470953936132	0.0020396349897540984	0.013498417675247608	0.008868470034811516	0.007290579969659025		0.024376470953936132		0.013498417675247608	0.011393348712653708	0.009420447409075263	0.010453129322489754		0.0020396349897540984		0.005841318559423495	0.004366597636495778	0.45454545454545453	30.054672901992774
33	402	412	scaf_stapEND3_0	scaf_stapDX_5	rPB66v2	11			0.03414972194650785	0.0026203643965590846	0.005361281767866752	0.005361281767866747			0.03414972194650785		0.027239632656165698	0.027239632656165698				0.0026203643965590846	0.00237849545392581	0.00237849545392581	0.45454545454545453	35.35242204098171
34	413	423	scaf_stapDX_3	scaf_stapEND5_0	rPB66v2	11			0.01060893477309597		0.005900891971274329	0.005900891971274329			0.01060893477309597		0.01063309175451	0.01063309175451					0.0024395224425000105	0.0024395224425000105	0.5454545454545454	32.9904739779202
35	424	434	scaf_stapEND3_0	scaf_stapDX_5	rPB66v2	11	0.020552155348147198		0.014730697148224042	0.0030098780230746244	0.006288037221126663	0.005309304534660314	0.020552155348147198		0.014730697148224042		0.01356176696006307	0.011806900730745317				0.0030098780230746244	0.0029155059374424176	0.0029155059374424176	0.5454545454545454	36.238722875374435
36	435	443	scaf_stapDX_3	scaf_vertex_5	rPB66v2	9		0.03660719882652407		0.02280425231600068	0.02183228318706727	0.01837708857490697		0.03660719882652407		0.02280425231600068	0.02183228318706727	0.01837708857490697							0.4444444444444444	14.259283811462922
37	444	456	scaf_vertex_3	scaf_stapSXEND5_0	rPB66v2	13		0.003250668264920594		0.0016926137588584354	0.005948059815807288	0.006414689830476814					0.009047602155304634	0.009047602155304634		0.003250668264920594		0.0016926137588584354	0.002570744948754518	0.00228613651802388	0.5384615384615384	36.07907800854605
38	457	464	scaf_stapSX_3	scaf_stapEND5_0	rPB66v2	8	0.003307324792413763		0.0022166866381702526	0.01723066642386014	0.004874366018487821	0.005547090283715846				0.01723066642386014	0.01723066642386014	0.01723066642386014	0.003307324792413763		0.0022166866381702526		0.0031998048450898177	0.0031473628498072943	0.875	32.108070348449644
39	465	471	scaf_stapEND3_0	scaf_scafDX_5	rPB66v2	7					0.013937505763319674	0.013937505763319674					0.013937505763319674	0.013937505763319674							0.7142857142857143	6.79429420992318
40	472	490	scaf_scafDX_3	scaf_stapSX_5	rPB66v2	19	0.0045750145950734285		0.012365287125384221		0.0043274487807369085	0.004308969625023467	0.0045750145950734285		0.012365287125384221		0.006105143433707174	0.006304032889882994					0.0018305099668571268	0.0018305099668571268	0.3684210526315789	42.36335492442362
41	491	499	scaf_stapSXEND3_0	scaf_vertex_5	rPB66v2	9		0.012606077367230191		0.004305896089480874	0.0038603546115374213	0.0028716996077455246		0.012606077367230191			0.0039797813388904755	0.0022361391891135445				0.004305896089480874	0.0036879004121362228	0.0036879004121362228	0.4444444444444444	18.650793092894048
42	500	512	scaf_vertex_3	scaf_stapDX_5	rPB66v2	13	0.01985811288635587	0.03410722955088798		0.0038384797376622266	0.009888259556744083	0.006095139947581466	0.01985811288635587	0.03410722955088798			0.01778117152213827	0.012148664340333461				0.0038384797376622266	0.003058009501280176	0.003058009501280176	0.6153846153846154	52.713421348139036
43	513	523	scaf_stapDX_3	scaf_stapEND5_0	rPB66v2	11	0.00784692905780396				0.006323857409906709	0.005884950982069738					0.009546624882599046	0.009546624882599046	0.00784692905780396				0.005512637975281476	0.0046205039478696966	0.6363636363636364	44.23634294271608
44	524	534	scaf_stapEND3_0	scaf_stapDX_5	rPB66v2	11		0.031784311923668034			0.017215408326952716	0.014033053018749613		0.031784311923668034			0.043457763328829585	0.05941853320846142					0.0068197316465917375	0.0068197316465917375	0.5454545454545454	37.66772302920782
45	535	545	scaf_stapDX_3	scaf_stapEND5_0	rPB66v2	11	0.024461455745175886	0.04920619412781762	0.01640206470927254		0.024946526426068052	0.017937797953983346		0.04920619412781762			0.0310691774322042	0.019617322644509907	0.024461455745175886		0.01640206470927254		0.02003043634111303	0.016402064709272537	0.2727272727272727	27.14611434176561
46	546	556	scaf_stapEND3_0	scaf_stapSX_5	rPB66v2	11	0.02151531631553108			0.005099087474385245	0.00969800425941646	0.0074357922750236385	0.02151531631553108				0.019533092779720106	0.017733493105362024				0.005099087474385245	0.004814971580604323	0.004814971580604323	0.6363636363636364	41.26242329921354
47	557	565	scaf_stapSXEND3_0	scaf_vertex_5	rPB66v2	9	0.07046655606962944		0.012039512092298497		0.020514483203375896	0.013596269325368813	0.07046655606962944				0.02450254216903685	0.01444858092159213			0.012039512092298497		0.012039512092298496	0.012039512092298496	0.1111111111111111	3.940964345040186
48	566	578	scaf_vertex_3	scaf_stapDX_5	rPB66v2	13	0.003994285188268443				0.006531841362827504	0.007386433092554001					0.00885187952188965	0.00885187952188965	0.003994285188268443				0.004140338318337076	0.004291731957607582	0.46153846153846156	41.67397191331156
49	579	600	scaf_stapDX_3	scaf_stapDX_5	rPB66v2	22	0.009305834640753073		0.010623098904969262		0.006748742088892664	0.006554477223999961	0.009305834640753073		0.010623098904969262		0.010012840943166932	0.010118134734037132					0.00306587087312239	0.0030658708731223874	0.5909090909090909	60.23906498678457
50	601	622	scaf_stapDX_3	scaf_stapDX_5	rPB66v2	22			0.0021387839128671447	0.003413555781463456	0.004675671420847749	0.004675671420847749			0.0021387839128671447		0.007771499626494426	0.007771499626494426				0.003413555781463456	0.002541270926461671	0.002541270926461671	0.5454545454545454	58.89359077803175
51	623	631	scaf_stapDX_3	scaf_vertex_5	rPB66v2	9		0.006798783299180326			0.007292738879973169	0.007553015850895761					0.007553015850895761	0.007553015850895761		0.006798783299180326			0.006798783299180324		0.3333333333333333	10.920431032974648
52	632	644	scaf_vertex_3	scaf_stapDX_5	rPB66v2	13	0.046741635181864756	0.0034702123089566253		0.002407902418459699	0.006796453898990758	0.0052866838039311165	0.046741635181864756				0.013914054416285605	0.009290454545954412		0.0034702123089566253		0.002407902418459699	0.002614491770883734	0.002269357388415385	0.5384615384615384	46.98339876332011
53	645	655	scaf_stapDX_3	scaf_stapSXEND5_0	rPB66v2	11			0.0029461394296448084		0.0036015325926071515	0.0036015325926071515			0.0029461394296448084		0.005139803665461145	0.005139803665461145					0.0025236444541209585	0.002523644454120963	0.6363636363636364	38.15568933802996
54	656	663	scaf_stapSX_3	scaf_stapEND5_0	rPB66v2	8	0.032662488099812155	0.002974467693391393		0.0013455925279627732	0.004882928537756256	0.0030571337555438814	0.032662488099812155				0.01526985388053248	0.007138722464139342		0.002974467693391393		0.0013455925279627732	0.002283375620492411	0.0020006052841313117	0.5	17.31533676996412
55	664	669	scaf_stapEND3_0	scaf_scafDX_5	rPB66v2	6	0.028214950691598358	0.008880910684554303			0.015829543804582263		0.028214950691598358				0.028214950691598358			0.008880910684554303			0.008880910684554301		0.6666666666666666	-1.625137561004749
56	670	687	scaf_scafDX_3	scaf_stapSX_5	rPB66v2	18	0.03305908379226434	0.018399207303406762		0.005651488617443646	0.012391880281405115	0.007831868251170139	0.03305908379226434	0.018399207303406762		0.005651488617443646	0.012391880281405115	0.007831868251170139							0.4444444444444444	52.87852470751636
57	688	698	scaf_stapSXEND3_0	scaf_stapDX_5	rPB66v2	11	0.0016147110335553278	0.021317018469304984	0.012082004487918373		0.004183629325245944	0.003654350698079842		0.021317018469304984	0.012082004487918373		0.010464329742671162	0.00825479706794755	0.0016147110335553278				0.001232184027517428	0.0010763808332584683	0.45454545454545453	28.080019853671388
58	699	707	scaf_stapDX_3	scaf_vertex_5	rPB66v2	9		0.0068979322222933745		0.008342673673369194	0.007173130899619122	0.007229474377672537				0.008342673673369194	0.012698717339716718	0.012698717339716718		0.0068979322222933745			0.004051890086736784	0.003105467743669778	0.6666666666666666	26.30908505031283
59	708	720	scaf_vertex_3	scaf_stapSXEND5_0	rPB66v2	13	0.011841214246072403	0.005637324485570355			0.007798279880322922	0.007618700631713384		0.005637324485570355			0.009118034777483665	0.010703126241891308	0.011841214246072403				0.005704189767489141	0.0027478415834187144	0.38461538461538464	32.741537613191156
60	721	728	scaf_stapSX_3	scaf_stapEND5_0	rPB66v2	8	0.091811902802681		0.01862583341337944	0.14910581623014857	0.06882212227044796	0.0640376415706599	0.091811902802681		0.01862583341337944	0.14910581623014857	0.06882212227044796	0.0640376415706599							0.125	-10.137762133063518
61	729	735	scaf_stapEND3_0	scaf_scafDX_5	rPB66v2	7	0.053172151052339474	0.035736104716316594			0.062467662763764885	0.12828454237640882		0.035736104716316594			0.06770812240675486	0.12828454237640882	0.053172151052339474				0.05317215105233947		0.5714285714285714	6.65554838173216
62	736	754	scaf_scafDX_3	scaf_stapSX_5	rPB66v2	19	0.0032294220671106556	0.026231972229337427		0.012152825147284836	0.007767989854652301	0.006937385559908129		0.026231972229337427		0.012152825147284836	0.015470487612991494	0.01188065902110438	0.0032294220671106556				0.0027638573272735405	0.0023654100228398217	0.5789473684210527	61.8081505412876
63	755	763	scaf_stapSXEND3_0	scaf_vertex_5	rPB66v2	9		0.02157197284302425		0.010892217410561816	0.007065165429499331	0.005651566332609717		0.02157197284302425			0.010407033117209525	0.007228454845363994				0.010892217410561816	0.004796425838565681	0.004796425838565681	0.5555555555555556	29.778541145635074
64	764	776	scaf_vertex_3	scaf_stapDX_5	rPB66v2	13	0.0203680216337944		0.029518050823941256	0.010934709806181693	0.00942690300185441	0.008290977506524404	0.0203680216337944		0.029518050823941256	0.010934709806181693	0.017885428632119758	0.017313584023346					0.0019012676240874988	0.0019012676240874988	0.5384615384615384	39.49829341007103
65	777	798	scaf_stapDX_3	scaf_stapDX_5	rPB66v2	22	0.0013314283960894808				0.0033338696546404436	0.0036543630933728705					0.009285842332670604	0.009285842332670604	0.0013314283960894808				0.0018566739784902256	0.001962480228522374	0.5	65.1910397827549
66	799	820	scaf_stapDX_3	scaf_stapSX_5	rPB66v2	22		0.3531118076011783	0.008413494332735656	0.007761944266564206	0.008392946643583447	0.005539496147143418		0.3531118076011783	0.008413494332735656		0.019796674350416283	0.009633015051974435				0.007761944266564206	0.0035582518616596487	0.0035582518616596487	0.5	64.4623825171663
67	821	829	scaf_stapSXEND3_0	scaf_vertex_5	rPB66v2	9			0.005283221188738045		0.0030330695248058943	0.0030330695248058943									0.005283221188738045		0.0030330695248058943	0.0030330695248058943	0.7777777777777778	39.22217841563804
68	830	842	scaf_vertex_3	scaf_stapDX_5	rPB66v2	13					0.0077296352454528545	0.0077296352454528545					0.014506189462733816	0.014506189462733802					0.0030065434390035358	0.0030065434390035358	0.46153846153846156	43.061922857676336
69	843	853	scaf_stapDX_3	scaf_stapSXEND5_0	rPB66v2	11			0.006706716442003926		0.00621796265715684	0.00621796265715684					0.010191543191879633	0.010191543191879633			0.006706716442003926		0.00379364134340349	0.00379364134340349	0.7272727272727273	43.05163119645613
70	854	861	scaf_stapSX_3	scaf_stapEND5_0	rPB66v2	8		0.004589178726946721		0.0035835253639429645	0.00535216022273516	0.005561957161761918					0.033908931704661874	0.033908931704661874		0.004589178726946721		0.0035835253639429645	0.0033735166319586265	0.0030446133704992353	0.625	27.602114045790586
71	862	867	scaf_stapEND3_0	scaf_scafDX_5	rPB66v2	6		0.05818625373548498	0.04629546502785604		0.05633169268734899	0.05542669764054052		0.05818625373548498	0.04629546502785604		0.05190144193481625	0.046295465027856045					0.06635895782637465	0.06635895782637465	0.3333333333333333	-20.054044513691395
72	868	885	scaf_scafDX_3	scaf_stapSX_5	rPB66v2	18	0.005814376133986509		0.001982978462260929		0.00487286393440571	0.004801656055648563					0.010137931893602995	0.010137931893602995	0.005814376133986509		0.001982978462260929		0.00260058680704413	0.0022742213223285413	0.5555555555555556	53.814838191979334
73	886	896	scaf_stapSXEND3_0	scaf_stapDX_5	rPB66v2	11	0.006699634376067281	0.008767597629567964			0.0057268449040219	0.005096772486426764		0.008767597629567964			0.0098372899506477	0.010222107082978958	0.006699634376067281				0.00278378284410198	0.0017944339606601458	0.5454545454545454	33.479124415561614
74	897	905	scaf_stapDX_3	scaf_vertex_5	rPB66v2	9			0.006642977848574112	0.020934586908726092	0.007244217651265887	0.007244217651265887			0.006642977848574112	0.020934586908726092	0.007244217651265887	0.007244217651265887							0.2222222222222222	6.02408573809123
75	906	918	scaf_vertex_3	scaf_stapSXEND5_0	rPB66v2	13	0.008909238948300887	0.0790641841167179	0.008300181277749317	0.003597689495816257	0.010799086470113647	0.00835235542087268		0.0790641841167179	0.008300181277749317		0.01918837500636755	0.013467990408280608	0.008909238948300887			0.003597689495816257	0.005264086840593946	0.004417235202115081	0.6153846153846154	44.152479350715225
76	919	929	scaf_stapSX_3	scaf_stapSXEND5_0	rPB66v2	11	0.004192583034494535			0.013909177499573088	0.007168626951974053	0.009373744996607857							0.004192583034494535			0.013909177499573088	0.007168626951974053	0.009373744996607857	0.8181818181818182	53.530082224939235
77	930	937	scaf_stapSX_3	scaf_stapEND5_0	rPB66v2	8	0.029801333461407103		0.013370940488387977	0.0030594524846311475	0.006776407926860392	0.0046794035802405955	0.029801333461407103		0.013370940488387977		0.019961759846944347	0.013370940488387979				0.0030594524846311475	0.003297615522354129	0.003297615522354129	0.625	21.174175712352735
78	938	943	scaf_stapEND3_0	scaf_scafDX_5	rPB66v2	6		0.03478710788080601	0.027336774515454236		0.030837758092675527	0.02733677451545424		0.03478710788080601			0.034787107880806				0.027336774515454236		0.02733677451545424	0.02733677451545424	0.5	-7.6952443160870985
79	944	961	scaf_scafDX_3	scaf_stapSX_5	rPB66v2	18	0.029617199747054304	0.06613233171640198			0.009573128648912787	0.007247002933471622	0.029617199747054304	0.06613233171640198			0.01699076039872744	0.012924760418132444					0.002632972508076919	0.002632972508076919	0.5	51.449112496911766
80	962	972	scaf_stapSXEND3_0	scaf_stapSX_5	rPB66v2	11	0.01116133591615437	0.04062273021260246	0.003810151473915642	0.013597566598360653	0.007040152579735051	0.004868126790215962		0.04062273021260246		0.013597566598360653	0.021537918073430667	0.015682706930983125	0.01116133591615437		0.003810151473915642		0.0035992257081451933	0.0027122661758196822	0.6363636363636364	45.731450234180386
81	973	981	scaf_stapSXEND3_0	scaf_vertex_5	rPB66v2	9		0.01905075736957821		0.027931668054132514	0.007798807828765798	0.0065230606061303514		0.01905075736957821		0.027931668054132514	0.02337244582805895	0.025888096562185353					0.002602269527008671	0.002602269527008671	0.5555555555555556	30.062090923374
82	982	994	scaf_vertex_3	scaf_stapDX_5	rPB66v2	13					0.0056104379517313676	0.0056104379517313676					0.00686722242280208	0.00686722242280208					0.0030594524846311467	0.0030594524846311467	0.38461538461538464	37.88129964226795
83	995	1005	scaf_stapDX_3	scaf_stapSXEND5_0	rPB66v2	11					0.006844446689821886	0.006844446689821886					0.007830926793442543	0.00783092679344255					0.003994285188268441	0.003994285188268441	0.5454545454545454	27.458528713148837
84	1006	1013	scaf_stapSX_3	scaf_stapEND5_0	rPB66v2	8					0.013083104302097408	0.013083104302097408					0.013083104302097408	0.013083104302097408							0.625	13.61546928017691
85	1014	1019	scaf_stapEND3_0	scaf_scafDX_5	rPB66v2	6	0.05926272775785519	0.030084616098872946	0.004773312441299522		0.015560824971904159	0.00799856955728196		0.030084616098872946			0.023509165091661767	0.018370879039660178	0.05926272775785519		0.004773312441299522		0.011818514502768666	0.005277807184720685	0.6666666666666666	8.93514863017117
86	1020	1037	scaf_scafDX_3	scaf_stapSX_5	rPB66v2	18	0.0041075982432547805		0.021869419612363387		0.005597057568213596	0.005893252868198647			0.021869419612363387		0.014236619021952819	0.014236619021952819	0.0041075982432547805				0.0027789098410536586	0.0024395138561323663	0.5555555555555556	64.2755952729766
87	1038	1048	scaf_stapSXEND3_0	scaf_stapDX_5	rPB66v2	11	0.030226257417605873	0.04604759272007342		0.0034418840452100407	0.00989944325921472	0.006361347832408792	0.030226257417605873	0.04604759272007342			0.01680736870045259	0.009877243858043958				0.0034418840452100407	0.0040969674158582445	0.0040969674158582445	0.5454545454545454	39.207351703093025
88	1049	1057	scaf_stapDX_3	scaf_vertex_5	rPB66v2	9		0.021076228227459016	0.004730820045679644	0.016671183214865094	0.013006986436448556	0.01152849554346138		0.021076228227459016		0.016671183214865094	0.0167489178372304	0.015513794650437824			0.004730820045679644		0.004730820045679644	0.004730820045679644	0.1111111111111111	2.2365811742821506
89	1058	1070	scaf_vertex_3	scaf_stapSXEND5_0	rPB66v2	13			0.011232156575520832	0.005155744001878415	0.006822426695779047	0.006822426695779047			0.011232156575520832	0.005155744001878415	0.008099824759568247	0.008099824759568247					0.0024362306822062843	0.0024362306822062843	0.38461538461538464	28.05608857395123
90	1071	1081	scaf_stapSX_3	scaf_stapEND5_0	rPB66v2	11	0.0027478415834187157			0.00699708114540642	0.004707861841861734	0.0053861905540477945					0.0162887516542862	0.0162887516542862	0.0027478415834187157			0.00699708114540642	0.0034518958701961595	0.0037246003917243884	0.6363636363636364	39.35734562230118
91	1082	1092	scaf_stapEND3_0	scaf_stapDX_5	rPB66v2	11	0.019673979172003073	0.0018130088797814207			0.0034951869634169404	0.0024454191392076327	0.019673979172003073				0.01967397917200307			0.0018130088797814207			0.0022691591829388097	0.0024454191392076327	0.7272727272727273	52.07039382762474
92	1093	1103	scaf_stapDX_3	scaf_stapEND5_0	rPB66v2	11			0.005141579870005123		0.008850592816507663	0.008850592816507663					0.010607123343352889	0.010607123343352889			0.005141579870005123		0.005141579870005123	0.005141579870005123	0.5454545454545454	34.334301718663426
93	1104	1114	scaf_stapEND3_0	scaf_stapDX_5	rPB66v2	11	0.011557931608606558	0.013073493719048838	0.015169785236296106	0.0021387839128671447	0.00634885987447559	0.004562739423792561	0.011557931608606558	0.013073493719048838	0.015169785236296106	0.0021387839128671447	0.008367669742808332	0.005696041838420754					0.0036549224250787614	0.0036549224250787614	0.5454545454545454	34.8387305268472
94	1115	1123	scaf_stapDX_3	scaf_vertex_5	rPB66v2	9	0.011317141366760588	0.004022613452015027	0.0012322794729764342	0.011841214246072403	0.00363404268965724	0.002837246220270696	0.011317141366760588			0.011841214246072403	0.010796396438589246	0.010545079650737926		0.004022613452015027	0.0012322794729764342		0.0016059182214308576	0.0011824836210325553	0.5555555555555556	27.57430278189429
